Fußball;verboten1;verboten2;verboten3;verboten4
Basketball;verboten1;verboten2;verboten3;verboten4
Tennis;verboten1;verboten2;verboten3;verboten4
Laufen;verboten1;verboten2;verboten3;verboten4
Schwimmen;verboten1;verboten2;verboten3;verboten4
Radfahren;verboten1;verboten2;verboten3;verboten4
Fitness;verboten1;verboten2;verboten3;verboten4
Yoga;verboten1;verboten2;verboten3;verboten4
Wandern;verboten1;verboten2;verboten3;verboten4
Klettern;verboten1;verboten2;verboten3;verboten4
Skifahren;verboten1;verboten2;verboten3;verboten4
Surfen;verboten1;verboten2;verboten3;verboten4
Joggen;verboten1;verboten2;verboten3;verboten4
Training;verboten1;verboten2;verboten3;verboten4
Mannschaft;verboten1;verboten2;verboten3;verboten4
Turnier;verboten1;verboten2;verboten3;verboten4
Wettkampf;verboten1;verboten2;verboten3;verboten4
Stadion;verboten1;verboten2;verboten3;verboten4
Halle;verboten1;verboten2;verboten3;verboten4
Verein;verboten1;verboten2;verboten3;verboten4
Freizeit;verboten1;verboten2;verboten3;verboten4
Urlaub;verboten1;verboten2;verboten3;verboten4
Camping;verboten1;verboten2;verboten3;verboten4
Angeln;verboten1;verboten2;verboten3;verboten4
Lesen;verboten1;verboten2;verboten3;verboten4
Gaming;verboten1;verboten2;verboten3;verboten4
Kino;verboten1;verboten2;verboten3;verboten4
Theater;verboten1;verboten2;verboten3;verboten4
Konzert;verboten1;verboten2;verboten3;verboten4
Musik;verboten1;verboten2;verboten3;verboten4
Reisen;verboten1;verboten2;verboten3;verboten4
Spaziergang;verboten1;verboten2;verboten3;verboten4
Picknick;verboten1;verboten2;verboten3;verboten4
Strand;verboten1;verboten2;verboten3;verboten4
Park;verboten1;verboten2;verboten3;verboten4
Museum;verboten1;verboten2;verboten3;verboten4
Fotografie;verboten1;verboten2;verboten3;verboten4
Malen;verboten1;verboten2;verboten3;verboten4
Basteln;verboten1;verboten2;verboten3;verboten4
