Auto;verboten1;verboten2;verboten3;verboten4
Haus;verboten1;verboten2;verboten3;verboten4
Hund;verboten1;verboten2;verboten3;verboten4
Katze;verboten1;verboten2;verboten3;verboten4
Bett;verboten1;verboten2;verboten3;verboten4
Stuhl;verboten1;verboten2;verboten3;verboten4
Tisch;verboten1;verboten2;verboten3;verboten4
Lampe;verboten1;verboten2;verboten3;verboten4
Uhr;verboten1;verboten2;verboten3;verboten4
Schlüssel;verboten1;verboten2;verboten3;verboten4
Tür;verboten1;verboten2;verboten3;verboten4
Fenster;verboten1;verboten2;verboten3;verboten4
Tasche;verboten1;verboten2;verboten3;verboten4
Rucksack;verboten1;verboten2;verboten3;verboten4
Handy;verboten1;verboten2;verboten3;verboten4
Fernseher;verboten1;verboten2;verboten3;verboten4
Kaffee;verboten1;verboten2;verboten3;verboten4
Tee;verboten1;verboten2;verboten3;verboten4
Dusche;verboten1;verboten2;verboten3;verboten4
Seife;verboten1;verboten2;verboten3;verboten4
Zahnbürste;verboten1;verboten2;verboten3;verboten4
Kleidung;verboten1;verboten2;verboten3;verboten4
Schuhe;verboten1;verboten2;verboten3;verboten4
Jacke;verboten1;verboten2;verboten3;verboten4
Spiegel;verboten1;verboten2;verboten3;verboten4
Buch;verboten1;verboten2;verboten3;verboten4
Zeitung;verboten1;verboten2;verboten3;verboten4
Radio;verboten1;verboten2;verboten3;verboten4
Computer;verboten1;verboten2;verboten3;verboten4
Laptop;verboten1;verboten2;verboten3;verboten4
Kühlschrank;verboten1;verboten2;verboten3;verboten4
Herd;verboten1;verboten2;verboten3;verboten4
Pfanne;verboten1;verboten2;verboten3;verboten4
Topf;verboten1;verboten2;verboten3;verboten4
Waschmaschine;verboten1;verboten2;verboten3;verboten4
Staubsauger;verboten1;verboten2;verboten3;verboten4
Müll;verboten1;verboten2;verboten3;verboten4
Brief;verboten1;verboten2;verboten3;verboten4
Kalender;verboten1;verboten2;verboten3;verboten4
Notiz;verboten1;verboten2;verboten3;verboten4
